"","AGI","probe_id","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title","GO","PATH","oma_id","level","level_name","araID"
"3796","AT1G69780","260395_at",0.005421,0.000345,-6.58,0.424679,-0.339,"ATHB13","homeobox-leucine zipper protein ATHB-13","GO:0009744; GO:0009965; GO:0045893; GO:0048826; GO:0080022; GO:0005634; GO:0003700; GO:0043565",NA,15172952,8,"Magnoliopsida","ARATH08986"
"3797","AT1G69790","260415_at",0.007906,0.000643,-5.92,-0.253765,-0.384,"AT1G69790","putative protein serine/threonine kinase","GO:0006468; GO:0016310; GO:0005634; GO:0009507",NA,15172954,7,"Spermatophyta","ARATH08988"
"3798","AT1G69800","260413_at",0.141583,0.0419,2.5,-4.734714,0.146,"AT1G69800","Cystathionine beta-synthase (CBS) protein","GO:0005739",NA,15172955,5,"Embryophyta","ARATH08989"
"3799","AT1G69810","260403_at",0.722191,0.51,-0.694,-6.992866,-0.0439,"WRKY36","WRKY DNA-binding protein 36","GO:0006355; GO:0005634; GO:0003700; GO:0043565",NA,15172958,13,"Brassicaceae","ARATH08992"
"3800","AT1G69830","260412_at",0.212565,0.0734,-2.11,-5.301494,-0.155,"AMY3","alpha-amylase-like 3","GO:0005983; GO:0005576; GO:0009507; GO:0009570; GO:0004556; GO:0005509; GO:0103025",NA,15172964,8,"Magnoliopsida","ARATH08998"
"3801","AT1G69840","260401_at",0.26676,0.102,-1.89,-5.623437,-0.178,"AT1G69840","Hypersensitive-induced response protein 2","GO:0008150; GO:0005739; GO:0005773; GO:0005774; GO:0005886; GO:0009506; GO:0009705; GO:0005515; GO:0043424",NA,15172965,2,"Eukaryota","ARATH08999"
"3802","AT1G69850","260414_at",0.075518,0.0172,3.13,-3.808373,0.284,"NRT1:2","nitrate transporter 1:2","GO:0009624; GO:0010119; GO:0080168; GO:0005634; GO:0005886; GO:0016021; GO:0015333; GO:0035673; GO:0090440; GO:1904680",NA,15172966,2,"Eukaryota","ARATH09000"
"3803","AT1G69860","260400_at",0.67339,0.447,-0.806,-6.904394,-0.0282,"AT1G69860","putative peptide/nitrate transporter","GO:0005739; GO:0005886; GO:0016021; GO:0015333; GO:0035673; GO:1904680",NA,15172967,2,"Eukaryota","ARATH09001"
"3804","AT1G69870","260410_at",0.007302,0.000558,-6.07,-0.099948,-0.524,"NRT1.7","nitrate transporter 1.7","GO:0015706; GO:0005886; GO:0009507; GO:0016021; GO:0015333; GO:0035673; GO:0080054; GO:1904680",NA,15172968,2,"Eukaryota","ARATH09002"
"3805","AT1G69880","260408_at",0.076784,0.0176,3.11,-3.831405,0.566,"TH8","thioredoxin H8","GO:0006662; GO:0045454; GO:0005737; GO:0015035",NA,15172969,7,"Spermatophyta","ARATH09003"
"3806","AT1G69890","260411_at",0.012228,0.00122,-5.3,-0.947617,-0.343,"AT1G69890","hypothetical protein","GO:0071456; GO:0005634; GO:0003674",NA,15172970,5,"Embryophyta","ARATH09004"
"3807","AT1G69910","260407_at",0.729085,0.521,-0.677,-7.005502,-0.0579,"AT1G69910","Protein kinase superfamily protein","GO:0006468; GO:0007166; GO:0016310; GO:0005886; GO:0004674; GO:0016301",NA,15172972,8,"Magnoliopsida","ARATH09006"
"3808","AT1G69920","260406_at",0.011171,0.00107,5.42,-0.809911,0.448,"GSTU12","glutathione S-transferase TAU 12","GO:0006749; GO:0009407; GO:0005737; GO:0004364",NA,15172973,13,"Brassicaceae","ARATH09007"
"3809","AT1G69930","260405_at",0.300903,0.122,1.77,-5.792889,0.258,"GSTU11","glutathione S-transferase TAU 11","GO:0006749; GO:0009407; GO:0005737; GO:0004364",NA,15172974,10,"Pentapetalae","ARATH09008"
"3810","AT1G69935","260409_at",0.125838,0.0354,-2.61,-4.561691,-0.119,"SHW1","serine-arginine-aspartate-rich protein SHW1","GO:0010100; GO:0005634; GO:0005739; GO:0009507",NA,15172975,13,"Brassicaceae","ARATH09009"
"3811","AT1G69960","264703_at",0.493242,0.261,1.23,-6.484542,0.106,"PP2A","serine/threonine protein phosphatase 2A","GO:2000012; GO:0005737; GO:0004722; GO:0005515","03015",15172978,2,"Eukaryota","ARATH09012"
"3812","AT1G69970","264693_at",0.970095,0.933,0.0873,-7.254089,0.00426,"CLE26","CLAVATA3/ESR (CLE)-related protein 26","GO:0005739; GO:0048046; GO:0033612",NA,15172979,13,"Brassicaceae","ARATH09013"
"3813","AT1G69980","264699_at",0.543208,0.306,1.11,-6.616453,0.0709,"AT1G69980///TUB3///TUB2","hypothetical protein///tubulin beta-2/beta-3 chain///tubulin beta-2/beta-3 chain","GO:0009507",NA,15172981,5,"Embryophyta","ARATH09015"
"3814","AT1G69990","264714_at",0.623371,0.392,0.914,-6.809354,0.0332,"AT1G69990","putative LRR receptor-like serine/threonine-protein kinase","GO:0006468; GO:0016310; GO:0005886; GO:0005515; GO:0016301; GO:0042802",NA,15172982,8,"Magnoliopsida","ARATH09016"
"3815","AT1G70000","264692_at",0.740433,0.536,0.652,-7.023175,0.0884,"AT1G70000","myb-like transcription factor","GO:0006355; GO:0031540; GO:0080167; GO:0005634; GO:0003682; GO:0003700; GO:0008270",NA,15172983,6,"Tracheophyta","ARATH09017"
"3816","AT1G70040","257415_at",0.914202,0.812,-0.247,-7.223707,-0.00852,"AT1G70040","hypothetical protein","GO:0008150; GO:0003674",NA,15172988,13,"Brassicaceae","ARATH09022"
"3817","AT1G70060","264690_at",0.678289,0.454,-0.794,-6.914407,-0.0496,"SNL4","paired amphipathic helix protein Sin3-like 4","GO:0000122; GO:0016575; GO:0000118; GO:0000785; GO:0005634; GO:0003714; GO:0004407",NA,15172989,3,"Viridiplantae","ARATH09023"
"3818","AT1G70070","264748_at",0.848354,0.695,-0.409,-7.164277,-0.0209,"EMB25","DEAD-box ATP-dependent RNA helicase ISE2","GO:0000373; GO:0006397; GO:0009793; GO:0010497; GO:0016441; GO:0016554; GO:1901259; GO:0005634; GO:0009507; GO:0009570; GO:0010494; GO:0003723; GO:0003724",NA,15172990,2,"Eukaryota","ARATH09024"
"3819","AT1G70090","264704_at",0.458319,0.231,-1.32,-6.379355,-0.095,"LGT8","putative galacturonosyltransferase-like 9","GO:0045489; GO:0005576; GO:0005794; GO:0016757; GO:0047262",NA,15172992,2,"Eukaryota","ARATH09026"
"3820","AT1G70100","264700_at",0.082655,0.0196,-3.03,-3.944609,-0.131,"AT1G70100","hypothetical protein","GO:0008150; GO:0005576; GO:0003674",NA,15172993,10,"Pentapetalae","ARATH09027"
"3821","AT1G70110","264719_at",0.640595,0.411,-0.876,-6.843532,-0.0413,"AT1G70110","putative L-type lectin-domain containing receptor kinase V.1","GO:0002229; GO:0006468; GO:0006952; GO:0042742; GO:0005886; GO:0004675; GO:0016301",NA,15172996,13,"Brassicaceae","ARATH09030"
"3822","AT1G70130","264718_at",0.650979,0.421,-0.855,-6.862237,-0.0305,"AT1G70130","putative L-type lectin-domain containing receptor kinase V.2","GO:0002229; GO:0006468; GO:0006952; GO:0042742; GO:0005576; GO:0005886; GO:0004675; GO:0016301",NA,15172998,12,"malvids","ARATH09032"
"3823","AT1G70140","264717_at",0.156259,0.0481,-2.4,-4.876241,-0.112,"FH8","formin-like protein 8","GO:0009932; GO:0045010; GO:0005576; GO:0005886; GO:0009506; GO:0003779; GO:0005522; GO:0051015",NA,15172999,10,"Pentapetalae","ARATH09033"
"3824","AT1G70160","264701_at",0.333885,0.142,-1.66,-5.937435,-0.188,"AT1G70160","hypothetical protein","GO:0008150; GO:0005576; GO:0003674",NA,15173001,2,"Eukaryota","ARATH09035"
"3825","AT1G70170","264716_at",0.007143,0.00054,-6.1,-0.063368,-0.468,"MMP","matrix metalloproteinase","GO:0009651; GO:0009753; GO:0030198; GO:0030574; GO:0046686; GO:0080186; GO:1900056; GO:2000028; GO:0005576; GO:0031012; GO:0031225; GO:0004222; GO:0008270",NA,15173002,2,"Eukaryota","ARATH09036"
"3826","AT1G70180","264715_at",0.694077,0.473,-0.76,-6.942222,-0.0422,"AT1G70180","Sterile alpha motif (SAM) domain-containing protein","GO:0005634; GO:0005737; GO:0009507; GO:0004620",NA,15173004,8,"Magnoliopsida","ARATH09038"
"3827","AT1G70190","264702_at",0.042358,0.00757,3.74,-2.930162,0.317,"AT1G70190","ribosomal protein L7/L12 domain-containing protein","GO:0006412; GO:0005739; GO:0003735",NA,15173009,5,"Embryophyta","ARATH09043"
"3828","AT1G70200","264698_at",0.409876,0.194,1.44,-6.223739,0.0647,"AT1G70200","RNA recognition motif-containing protein","GO:0006364; GO:0009409; GO:0032544; GO:0009507; GO:0009536; GO:0019843",NA,15173010,9,"Mesangiospermae","ARATH09044"
"3829","AT1G70210","264697_at",0.885384,0.76,0.319,-7.200961,0.0211,"CYCD1;1","cyclin-D1-1","GO:0000079; GO:0044772; GO:0000307; GO:0005634; GO:0005737; GO:0042025; GO:0005515; GO:0016538",NA,15173011,8,"Magnoliopsida","ARATH09045"
"3830","AT1G70230","264696_at",0.093422,0.0234,2.91,-4.131047,0.168,"TBL27","trichome birefringence-like 27 protein","GO:0010411; GO:0005634; GO:0005794; GO:0016413",NA,15173015,9,"Mesangiospermae","ARATH09049"
"3831","AT1G70250","264694_at",0.558771,0.321,-1.07,-6.655222,-0.0747,"AT1G70250","protease inhibitor/seed storage/LTP family protein","GO:0008150; GO:0005575; GO:0003674",NA,15173016,7,"Spermatophyta","ARATH09050"
"3832","AT1G70270","264341_at",0.710839,0.495,0.721,-6.972332,0.0358,"AT1G70270","hypothetical protein","GO:0008150; GO:0005575",NA,15173019,12,"malvids","ARATH09053"
"3833","AT1G70280","264340_at",0.11347,0.0306,2.72,-4.411082,0.221,"AT1G70280","NHL domain-containing protein","GO:0008150; GO:0005576; GO:0005634; GO:0003674",NA,15173021,7,"Spermatophyta","ARATH09055"
"3834","AT1G70290","264339_at",0.000173,2.05e-07,-20.7,7.96065,-1.45,"TPS8","putative alpha,alpha-trehalose-phosphate synthase [UDP-forming] 8","GO:0005737; GO:0005829; GO:0009507; GO:0016757",NA,15173022,2,"Eukaryota","ARATH09056"
"3835","AT1G70300","264338_at",0.004455,0.000252,-6.93,0.764182,-0.473,"KUP6","potassium transporter 6","GO:0006813; GO:0071805; GO:0005739; GO:0005886; GO:0016020; GO:0015079",NA,15173024,2,"Eukaryota","ARATH09058"
"3836","AT1G70310","264317_at",0.202449,0.0686,2.16,-5.23351,0.276,"SPDS2","Spermidine synthase 2","GO:0006596; GO:0008295; GO:0005634; GO:0005739; GO:0005829; GO:0005886; GO:0004766; GO:0005515","00270; 00330; 00410; 00480; 01100",15173025,2,"Eukaryota","ARATH09059"
"3837","AT1G70330","264316_at",0.898337,0.783,-0.286,-7.212087,-0.0162,"ENT1","equilibrative nucleotide transporter 1","GO:1901642; GO:0005739; GO:0005774; GO:0005886; GO:0016021; GO:0005337; GO:0010174",NA,15173027,2,"Eukaryota","ARATH09061"
"3838","AT1G70350","264337_at",0.007886,0.000639,5.93,-0.246769,0.201,"AT1G70350","hypothetical protein","GO:0008150; GO:0005739; GO:0005886; GO:0003674",NA,15173030,11,"rosids","ARATH09064"
"3839","AT1G70360","264336_at",0.155758,0.0479,-2.41,-4.871086,-0.186,"AT1G70360","F-box protein","GO:0008150; GO:0005739; GO:0003674",NA,15173032,6,"Tracheophyta","ARATH09066"
"3840","AT1G70370","264315_at",0.064463,0.0139,-3.29,-3.577092,-0.197,"PG2","polygalacturonase 2","GO:0008150; GO:0005576",NA,15173033,6,"Tracheophyta","ARATH09067"
"3841","AT1G70400","264311_at",0.786258,0.6,0.55,-7.089675,0.0212,"AT1G70400","hypothetical protein","GO:0000244; GO:0005634; GO:0046540; GO:0003674",NA,15173038,14,"Arabidopsis","ARATH09072"
"3842","AT1G70410","264313_at",0.286735,0.113,-1.82,-5.725389,-0.135,"BCA4","beta carbonic anhydrase 4","GO:0009440; GO:0010037; GO:0010119; GO:0015976; GO:2000122; GO:0005737; GO:0005739; GO:0005829; GO:0005886; GO:0009507; GO:0009941; GO:0004089; GO:0005515; GO:0008270","00910",15173040,1,"LUCA","ARATH09074"
"3843","AT1G70420","264314_at",0.112584,0.0303,-2.72,-4.399214,-0.235,"AT1G70420","hypothetical protein","GO:0080167; GO:0005634",NA,15173041,10,"Pentapetalae","ARATH09075"
"3844","AT1G70430","264369_at",0.138446,0.0406,-2.52,-4.702626,-0.0958,"AT1G70430","protein kinase","GO:0016310; GO:0005634; GO:0005737; GO:0009507",NA,15173045,13,"Brassicaceae","ARATH09079"
"3845","AT1G70450","264312_at",0.526458,0.29,1.15,-6.573661,0.0442,"AT1G70450","protein kinase superfamily protein","GO:0006468; GO:0016310; GO:0005886; GO:0004675",NA,15173047,10,"Pentapetalae","ARATH09081"
"3846","AT1G70460","260366_at",0.990171,0.977,-0.0296,-7.257931,-0.00101,"RHS10","proline-rich extensin-like receptor kinase 13","GO:0006468; GO:0005634; GO:0005886; GO:0004675; GO:0019901",NA,15173048,13,"Brassicaceae","ARATH09082"
"3847","AT1G70470","260332_at",0.564215,0.326,1.06,-6.668179,0.0706,"AT1G70470","hypothetical protein","GO:0008150; GO:0003674",NA,15173049,10,"Pentapetalae","ARATH09083"
"3848","AT1G70480","260304_at",0.538613,0.301,1.12,-6.603052,0.0944,"AT1G70480","hypothetical protein","GO:0009695; GO:0005634; GO:0009507; GO:0009707; GO:0005261",NA,15173051,5,"Embryophyta","ARATH09085"
"3849","AT1G70490","260305_at",0.274262,0.106,1.86,-5.664692,0.122,"ARFA1D///ARF1","ARF GTPase family protein///ADP-ribosylation factor 1","GO:0006499; GO:0006886; GO:0016192; GO:0005737; GO:0005739; GO:0005773; GO:0005794; GO:0005886; GO:0005525; GO:0016004",NA,15173053,1,"LUCA","ARATH09087"
"3850","AT1G70500","260333_at",0.932088,0.849,0.198,-7.236046,0.0146,"AT1G70500","pectin lyase-like protein","GO:0005975; GO:0009507; GO:0004650",NA,15173054,2,"Eukaryota","ARATH09088"
"3851","AT1G70510","260334_at",0.030658,0.00474,-4.11,-2.425203,-0.255,"KNAT2","homeobox protein knotted-1-like 2","GO:0006355; GO:0006357; GO:0009723; GO:0009736; GO:0010094; GO:0005634; GO:0000978; GO:0000981; GO:0003700; GO:0005515",NA,15173059,3,"Viridiplantae","ARATH09093"
"3852","AT1G70520","260303_at",0.021085,0.00275,-4.57,-1.837585,-0.39,"CRK2","cysteine-rich receptor-like protein kinase 2","GO:0010193; GO:0046777; GO:0072593; GO:0005886; GO:0009506; GO:0004674; GO:0005515; GO:0016301",NA,15173061,7,"Spermatophyta","ARATH09095"
"3853","AT1G70530","260362_at",0.013363,0.00139,-5.17,-1.09543,-0.391,"CRK3","cysteine-rich receptor-like protein kinase 3","GO:0006468; GO:0046777; GO:0005576; GO:0005739; GO:0005886; GO:0004674; GO:0016301",NA,15173062,8,"Magnoliopsida","ARATH09096"
"3854","AT1G70540","260306_at",0.858814,0.715,-0.381,-7.176355,-0.0145,"EDA24","protein EMBRYO SAC DEVELOPMENT ARREST 24","GO:0010197; GO:0009507; GO:0030599; GO:0046910",NA,15173065,8,"Magnoliopsida","ARATH09099"
"3855","AT1G70550","260363_at",0.069285,0.0153,3.21,-3.681002,0.241,"AT1G70550","hypothetical protein","GO:0008150; GO:0005739",NA,15173066,1,"LUCA","ARATH09100"
"3856","AT1G70560","260364_at",0.878422,0.748,-0.334,-7.195199,-0.0135,"TAA1","L-tryptophan--pyruvate aminotransferase 1","GO:0009641; GO:0009684; GO:0009723; GO:0009734; GO:0009793; GO:0009908; GO:0009926; GO:0009958; GO:0010078; GO:0010087; GO:0010588; GO:0042742; GO:0048364; GO:0048366; GO:0048367; GO:0048467; GO:0048825; GO:0080022; GO:0005634; GO:0005737; GO:0004021; GO:0004838; GO:0005515; GO:0016846; GO:0030170; GO:0047312; GO:0050048; GO:0050362; GO:0080097; GO:0080098; GO:0080099; GO:0080100; GO:0080130",NA,15173068,2,"Eukaryota","ARATH09102"
"3857","AT1G70570","260311_at",0.242046,0.0886,-1.98,-5.486829,-0.086,"AT1G70570","putative anthranilate phosphoribosyltransferase","GO:0009507; GO:0009570",NA,15173069,4,"Streptophyta","ARATH09103"
"3858","AT1G70580","260309_at",0.01297,0.00133,-5.22,-1.045495,-0.292,"AOAT2","glutamate--glyoxylate aminotransferase 2","GO:0009058; GO:0009853; GO:0042853; GO:0005737; GO:0005739; GO:0005777; GO:0005829; GO:0009507; GO:0009570; GO:0004021; GO:0008453; GO:0030170; GO:0047958","00250; 00710; 01100",15173071,2,"Eukaryota","ARATH09105"
"3859","AT1G70590","260310_at",0.058745,0.0121,-3.38,-3.435325,-0.218,"AT1G70590","F-box protein","GO:0008150; GO:0005739; GO:0005515",NA,15173072,4,"Streptophyta","ARATH09106"
"3860","AT1G70610","260308_at",0.320229,0.133,-1.71,-5.877724,-0.172,"TAP1","ABC transporter B family member 26","GO:0055085; GO:0005739; GO:0009507; GO:0009941; GO:0016887; GO:0022857; GO:0042626",NA,15173074,2,"Eukaryota","ARATH09108"
"3861","AT1G70620","260307_at",0.625818,0.395,-0.908,-6.814493,-0.119,"AT1G70620","cyclin-related protein","GO:0008150; GO:0005634; GO:0003674",NA,15173081,5,"Embryophyta","ARATH09115"
"3862","AT1G70630","260365_at",0.114844,0.0312,-2.7,-4.429457,-0.112,"AT1G70630","protein REDUCED ARABINOSE YARIV 1","GO:0042546; GO:0005737; GO:0005794; GO:0009507; GO:0016757",NA,15173089,2,"Eukaryota","ARATH09123"
"3863","AT1G70650","260177_at",0.879197,0.75,0.332,-7.19592,0.0135,"AT1G70650","zinc finger (Ran-binding) domain-containing protein","GO:0005634; GO:0005739",NA,15173092,10,"Pentapetalae","ARATH09126"
"3864","AT1G70690","260179_at",0.013516,0.00142,-5.16,-1.115127,-0.467,"HWI1","plasmodesmata-located protein 5","GO:0042742; GO:0051707; GO:0005576; GO:0009506",NA,15173098,6,"Tracheophyta","ARATH09132"
"3865","AT1G70700","260205_at",0.010884,0.00103,-5.46,-0.768988,-1.27,"TIFY7","putative jasmonate signaling protein JAZ9","GO:0009611; GO:0009753; GO:0031347; GO:2000022; GO:0005634; GO:0005515","04075; 04626",15173099,13,"Brassicaceae","ARATH09133"
"3866","AT1G70710","260181_at",0.009806,0.00089,5.6,-0.608426,0.591,"GH9B1","endo-1,4-beta-glucanase","GO:0010583; GO:0042547; GO:0005576; GO:0009507; GO:0008810",NA,15173102,2,"Eukaryota","ARATH09136"
"3867","AT1G70720","260178_at",0.451207,0.225,1.33,-6.355673,0.06,"AT1G70720","plant invertase/pectin methylesterase inhibitor domain-containing protein","GO:0043086; GO:0005634; GO:0004857",NA,15173104,7,"Spermatophyta","ARATH09138"
"3868","AT1G70730","260207_at",0.869719,0.732,0.357,-7.18659,0.0268,"AT1G70730","phosphoglucomutase 2","GO:0005975; GO:0046686; GO:0048229; GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0005886; GO:0009507; GO:0000287; GO:0004614","00010; 00030; 00052; 00230; 00500; 00520; 01100; 01110",15173106,2,"Eukaryota","ARATH09140"
"3869","AT1G70740","260206_at",0.219317,0.0767,-2.08,-5.344791,-0.168,"AT1G70740","protein kinase family protein","GO:0006468; GO:0016310; GO:0005634; GO:0005886; GO:0004674; GO:0005524",NA,15173108,8,"Magnoliopsida","ARATH09142"
"3870","AT1G70750","260182_at",0.10609,0.0278,2.78,-4.309898,0.207,"AT1G70750","hypothetical protein","GO:0008150; GO:0005737; GO:0016021; GO:0030133; GO:0017022; GO:0080115",NA,15173110,8,"Magnoliopsida","ARATH09144"
"3871","AT1G70760","262288_at",0.090737,0.0225,-2.94,-4.087496,-0.121,"CRR23","NAD(P)H dehydrogenase-like complex L","GO:0009773; GO:0010258; GO:0009507; GO:0009535; GO:0010598; GO:0042651; GO:0016655",NA,15173111,10,"Pentapetalae","ARATH09145"
"3872","AT1G70770","262289_at",0.101568,0.0262,2.83,-4.248798,0.204,"AT1G70770","hypothetical protein","GO:0005634; GO:0005774; GO:0005783; GO:0005794; GO:0005886; GO:0009506; GO:0003729",NA,15173112,4,"Streptophyta","ARATH09146"
"3873","AT1G70790","262291_at",0.60043,0.365,-0.969,-6.756386,-0.0465,"AT1G70790","calcium-dependent lipid-binding domain-containing protein","GO:0009789",NA,15173114,10,"Pentapetalae","ARATH09148"
"3874","AT1G70810","262314_at",0.604315,0.37,0.959,-6.766381,0.113,"AT1G70810","Calcium-dependent lipid-binding (CaLB domain) family protein","GO:0005739",NA,15173117,10,"Pentapetalae","ARATH09151"
"3875","AT1G70820","262309_at",0.080337,0.0188,-3.06,-3.902086,-0.162,"AT1G70820","phosphoglucomutase-like protein","GO:0005975; GO:0009507; GO:0009570; GO:0004615",NA,15173119,2,"Eukaryota","ARATH09153"
"3876","AT1G70830","262312_at",0.408296,0.192,-1.45,-6.21709,-0.215,"MLP28","MLP-like protein 28","GO:0006952; GO:0005634; GO:0005737; GO:0005739; GO:0005829; GO:0009507; GO:0003674",NA,15173124,11,"rosids","ARATH09158"
"3877","AT1G70840","262310_at",0.253433,0.0947,1.94,-5.552071,0.0791,"MLP31","MLP-like protein 31","GO:0006952; GO:0009507; GO:0003674",NA,15173125,11,"rosids","ARATH09159"
"3878","AT1G70850","262260_at",0.000811,1.19e-05,11.2,4.022142,0.886,"MLP34","MLP-like protein 34","GO:0006952; GO:0005737; GO:0003674",NA,15173127,10,"Pentapetalae","ARATH09161"
"3879","AT1G70870","262300_at",0.614043,0.381,0.936,-6.787921,0.039,"AT1G70870","putative NAD(P)H-dependent hydroxypyruvate reductase 2","GO:0009507; GO:0003674",NA,15173130,11,"rosids","ARATH09164"
"3880","AT1G70880","262301_at",0.73904,0.534,-0.655,-7.020919,-0.0341,"AT1G70880","SRPBCC domain-containing protein","GO:0006952; GO:0005634; GO:0003674",NA,15173131,11,"rosids","ARATH09165"
"3881","AT1G70890","262304_at",0.867021,0.728,0.362,-7.184343,0.0496,"MLP43","MLP-like protein 43","GO:0006952; GO:0005739; GO:0005829; GO:0009507; GO:0003674",NA,15173132,11,"rosids","ARATH09166"
"3882","AT1G70900","262313_at",0.276522,0.108,-1.85,-5.675551,-0.163,"AT1G70900","hypothetical protein","GO:0003674",NA,15173134,4,"Streptophyta","ARATH09168"
"3883","AT1G70910","262302_at",0.90792,0.802,-0.261,-7.219712,-0.0177,"AT1G70910","RING/U-box domain-containing protein","GO:0006511; GO:0010162; GO:0051788; GO:0005634; GO:0005737; GO:0061630",NA,15173135,13,"Brassicaceae","ARATH09169"
"3884","AT1G70920","262303_at",0.427623,0.207,1.39,-6.282637,0.0788,"HB18","homeobox-leucine zipper protein ATHB-18","GO:0006355; GO:0005634; GO:0003700; GO:0005515; GO:0043565",NA,15173136,13,"Brassicaceae","ARATH09170"
"3885","AT1G70940","262263_at",0.040111,0.007,3.8,-2.84673,0.758,"PIN3","auxin efflux carrier component 3","GO:0007389; GO:0009416; GO:0009606; GO:0009630; GO:0009926; GO:0009958; GO:0010082; GO:0010252; GO:0010315; GO:0048364; GO:0048766; GO:0048767; GO:0055085; GO:0005739; GO:0005783; GO:0005886; GO:0009986; GO:0012506; GO:0016328; GO:0010329",NA,15173138,5,"Embryophyta","ARATH09172"
"3886","AT1G70950","262305_at",0.740433,0.536,0.652,-7.023209,0.0275,"AT1G70950","TPX2 (targeting protein for Xklp2) protein family","GO:0008150; GO:0005634; GO:0003674",NA,15173141,8,"Magnoliopsida","ARATH09175"
"3887","AT1G70985","262290_at",0.8741,0.74,0.346,-7.190906,0.0138,"AT1G70985","hydroxyproline-rich glycoprotein family protein","GO:0008150; GO:0031225; GO:0003674",NA,15173145,10,"Pentapetalae","ARATH09179"
"3888","AT1G70990","262315_at",0.269025,0.103,1.88,-5.637387,0.0769,"AT1G70990","proline-rich family protein","GO:0008150; GO:0005739; GO:0031225; GO:0003674",NA,15173146,12,"malvids","ARATH09180"
"3889","AT1G71000","262307_at",0.256085,0.0962,-1.93,-5.567458,-0.0986,"AT1G71000","chaperone DnaJ-domain containing protein","GO:0005634; GO:0005737",NA,15173147,7,"Spermatophyta","ARATH09181"
"3890","AT1G71010","262308_at",0.322651,0.134,1.7,-5.887034,0.0821,"FAB1C","1-phosphatidylinositol-4-phosphate 5-kinase","GO:0046854; GO:0090332; GO:0005634; GO:0010008; GO:0000285",NA,15173149,2,"Eukaryota","ARATH09183"
"3891","AT1G71020","259741_at",0.119964,0.0332,2.66,-4.494899,0.137,"AT1G71020","ARM repeat superfamily protein","GO:0016567; GO:0031648; GO:0051865; GO:2000022; GO:0005634; GO:0005737; GO:0004842; GO:0005515; GO:0043621",NA,15173152,8,"Magnoliopsida","ARATH09186"
"3892","AT1G71030","259751_at",0.000719,9.08e-06,-11.7,4.30601,-0.571,"MYBL2","putative myb family transcription factor","GO:0009644; GO:0009718; GO:0010023; GO:0030154; GO:0005634; GO:0003700; GO:0005515; GO:0043565",NA,15173154,13,"Brassicaceae","ARATH09188"
"3893","AT1G71040","259752_at",0.734503,0.528,0.665,-7.013829,0.0439,"LPR2","protein LOW PHOSPHATE ROOT2","GO:0010073; GO:0016036; GO:0005576; GO:0005618; GO:0005739; GO:0005794; GO:0005829; GO:0005507; GO:0016491",NA,15173155,4,"Streptophyta","ARATH09189"
"3894","AT1G71050","259753_at",0.464618,0.237,-1.3,-6.400405,-0.0523,"AT1G71050","heavy-metal-associated domain-containing protein","GO:0030001; GO:0055073; GO:0071585; GO:0005737",NA,15173156,10,"Pentapetalae","ARATH09190"
"3895","AT1G71060","259746_at",0.204292,0.0695,2.15,-5.246037,0.116,"AT1G71060","pentatricopeptide repeat-containing protein","GO:0008150; GO:0005739",NA,15173157,7,"Spermatophyta","ARATH09191"
"3896","AT1G71070","259755_at",0.086316,0.021,2.98,-4.014811,0.136,"AT1G71070","core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase","GO:0005794; GO:0016757",NA,15173158,7,"Spermatophyta","ARATH09192"
"3897","AT1G71080","259756_at",0.185161,0.0606,-2.25,-5.108651,-0.135,"AT1G71080","RNA polymerase II transcription elongation factor","GO:0006355; GO:0005634; GO:0032783",NA,15173159,5,"Embryophyta","ARATH09193"
"3898","AT1G71090","259754_at",0.054655,0.0109,3.47,-3.317033,0.162,"AT1G71090","auxin efflux carrier family protein","GO:0009733; GO:0010252; GO:0010311; GO:0040009; GO:0055085; GO:0005789; GO:0010329",NA,15173160,2,"Eukaryota","ARATH09194"
"3899","AT1G71100","259749_at",0.450387,0.224,1.34,-6.352856,0.0823,"RSW10","ribose 5-phosphate isomerase A","GO:0009052; GO:0030244; GO:0046109; GO:0080167; GO:0005737; GO:0005829; GO:0004751","00030; 00710; 01100; 01110",15173161,1,"LUCA","ARATH09195"
"3900","AT1G71120","259742_at",0.648678,0.419,-0.86,-6.858309,-0.0404,"GLIP6","GDSL-motif lipase/hydrolase 6","GO:0005576; GO:0016298",NA,15173163,6,"Tracheophyta","ARATH09197"
"3901","AT1G71130","259750_at",0.501379,0.268,-1.21,-6.506387,-0.0709,"AT1G71130","ethylene-responsive transcription factor ERF070","GO:0006355; GO:0005634; GO:0003700; GO:0005515",NA,15173164,10,"Pentapetalae","ARATH09198"
"3902","AT1G71140","259743_at",0.508913,0.274,1.19,-6.526488,0.0518,"AT1G71140","MATE efflux family protein","GO:0042908; GO:0055085; GO:0005774; GO:0016020; GO:0015297; GO:0022857; GO:0042910",NA,15173165,2,"Eukaryota","ARATH09199"
"3903","AT1G71160","259744_at",0.529305,0.293,-1.14,-6.581209,-0.06,"KCS7","3-ketoacyl-CoA synthase 7","GO:0000038; GO:0006633; GO:0042335; GO:0009507; GO:0102336; GO:0102337; GO:0102338; GO:0102756",NA,15173168,8,"Magnoliopsida","ARATH09202"
