"transcript" "Ej_gall_rep1_TranscriptAbundance" "Ej_gall_rep2_TranscriptAbundance" "Ej_gall_rep3_TranscriptAbundance" "Ej_leaf_rep1_TranscriptAbundance" "Ej_leaf_rep2_TranscriptAbundance" "Ej_leaf_rep3_TranscriptAbundance" "hog" "id" "phylostrata" "gene" "mean"
"146" "TRINITY_DN1310_c2_g1_i10" 0 0 8.907 0 0 5.532 "HOG:A0168152" 168152 "asterids" "TRINITY_DN1310_c2_g1" 2.4065
"147" "TRINITY_DN13110_c0_g1_i8" 0 1.437 1.038 0 0.724 0 "HOG:A0648567" 648567 "Actinobacteria" "TRINITY_DN13110_c0_g1" 0.533166666666667
"148" "TRINITY_DN13121_c0_g1_i10" 0.407 0.254 0.816 0 0 0 "HOG:A0206112" 206112 "Pentapetalae" "TRINITY_DN13121_c0_g1" 0.246166666666667
"149" "TRINITY_DN1316_c0_g1_i16" 0.416 0.563 1.287 0.799 0.053 2.263 "HOG:A0221225" 221225 "Magnoliopsida" "TRINITY_DN1316_c0_g1" 0.896833333333333
"150" "TRINITY_DN13214_c0_g1_i2" 0 0 0 0 0 0 "HOG:A0174940" 174940 "fabids" "TRINITY_DN13214_c0_g1" 0
"151" "TRINITY_DN13214_c0_g1_i3" 5.51 5.912 5.562 6.653 13.417 9.824 "HOG:A0217822" 217822 "Mesangiospermae" "TRINITY_DN13214_c0_g1" 7.813
"152" "TRINITY_DN13327_c0_g1_i1" 0 0 0 0 0 0.125 "HOG:A0203765" 203765 "Pentapetalae" "TRINITY_DN13327_c0_g1" 0.0208333333333333
"153" "TRINITY_DN13327_c0_g1_i7" 0.142 2.239 1.228 0 2.201 0.665 "HOG:A0448937" 448937 "Mandibulata" "TRINITY_DN13327_c0_g1" 1.07916666666667
"154" "TRINITY_DN13420_c0_g1_i1" 2.118 3.174 0.948 8.285 1.141 1.227 "HOG:A0235906" 235906 "Embryophyta" "TRINITY_DN13420_c0_g1" 2.8155
"155" "TRINITY_DN13420_c0_g1_i2" 1.355 19.039 16.388 4.898 6.342 10.532 "HOG:A0223494" 223494 "Spermatophyta" "TRINITY_DN13420_c0_g1" 9.759
"156" "TRINITY_DN13431_c0_g1_i1" 1.036 1.387 0.982 1.843 0.929 1.151 "HOG:A0566821" 566821 "Eukaryota" "TRINITY_DN13431_c0_g1" 1.22133333333333
"157" "TRINITY_DN1346_c0_g1_i10" 0.998 0.77 0 0.856 0.743 0 "HOG:A0222043" 222043 "Magnoliopsida" "TRINITY_DN1346_c0_g1" 0.561166666666667
"158" "TRINITY_DN1346_c0_g1_i4" 8.435 8.399 9.782 8.52 6.891 8.388 "HOG:A0206243" 206243 "Pentapetalae" "TRINITY_DN1346_c0_g1" 8.4025
"159" "TRINITY_DN13536_c0_g1_i1" 1.044 0.935 1.305 0.303 0.557 0.633 "HOG:A0221263" 221263 "Magnoliopsida" "TRINITY_DN13536_c0_g1" 0.796166666666667
"160" "TRINITY_DN13536_c0_g1_i2" 1.194 0.754 0.834 1.081 2.591 3.097 "HOG:A0168055" 168055 "asterids" "TRINITY_DN13536_c0_g1" 1.59183333333333
"161" "TRINITY_DN1354_c0_g1_i1" 2.674 2.266 7.056 3.06 2.581 9.67 "HOG:A0211716" 211716 "Mesangiospermae" "TRINITY_DN1354_c0_g1" 4.55116666666667
"162" "TRINITY_DN13547_c0_g1_i1" 0.316 1.123 0 0.569 1.099 0 "HOG:A0168888" 168888 "asterids" "TRINITY_DN13547_c0_g1" 0.517833333333333
"163" "TRINITY_DN13547_c0_g1_i1" 0.316 1.123 0 0.569 1.099 0 "HOG:A0198361" 198361 "rosids" "TRINITY_DN13547_c0_g1" 0.517833333333333
"164" "TRINITY_DN13554_c0_g1_i1" 0.067 1.272 1.294 0.325 0 1.478 "HOG:A0198777" 198777 "rosids" "TRINITY_DN13554_c0_g1" 0.739333333333333
"165" "TRINITY_DN13554_c0_g1_i2" 0.942 0.53 2.324 0.686 0.634 2.196 "HOG:A0240396" 240396 "Viridiplantae" "TRINITY_DN13554_c0_g1" 1.21866666666667
"166" "TRINITY_DN13710_c0_g1_i1" 0.644 0 1.393 1.705 0 1.746 "HOG:A0226817" 226817 "Spermatophyta" "TRINITY_DN13710_c0_g1" 0.914666666666667
"167" "TRINITY_DN13710_c0_g1_i12" 1.555 0 0 2.25 0 0 "HOG:A0533692" 533692 "Bilateria" "TRINITY_DN13710_c0_g1" 0.634166666666667
"168" "TRINITY_DN1379_c1_g1_i1" 5.712 7.998 6.495 3.889 6.674 7.029 "HOG:A0206094" 206094 "Pentapetalae" "TRINITY_DN1379_c1_g1" 6.2995
"169" "TRINITY_DN1379_c1_g1_i1" 5.712 7.998 6.495 3.889 6.674 7.029 "HOG:A0238795" 238795 "Viridiplantae" "TRINITY_DN1379_c1_g1" 6.2995
"170" "TRINITY_DN1381_c2_g1_i10" 0 1.165 0 0 0 0 "HOG:A0203608" 203608 "Pentapetalae" "TRINITY_DN1381_c2_g1" 0.194166666666667
"171" "TRINITY_DN1381_c2_g1_i5" 2.705 5.796 5.733 3.143 4.987 6.068 "HOG:A0167835" 167835 "asterids" "TRINITY_DN1381_c2_g1" 4.73866666666667
"172" "TRINITY_DN13832_c0_g1_i1" 0.202 0.547 0 0.054 0.21 0.147 "HOG:A0232865" 232865 "Tracheophyta" "TRINITY_DN13832_c0_g1" 0.193333333333333
"173" "TRINITY_DN13832_c0_g1_i2" 0.126 0 0 0.048 0 0.063 "HOG:A0207320" 207320 "Pentapetalae" "TRINITY_DN13832_c0_g1" 0.0395
"174" "TRINITY_DN13855_c0_g1_i1" 0.091 0 1.892 0.099 0.343 3.519 "HOG:A0223307" 223307 "Spermatophyta" "TRINITY_DN13855_c0_g1" 0.990666666666667
"175" "TRINITY_DN13855_c0_g1_i2" 1.488 0.92 4.026 2.22 1.806 6.142 "HOG:A0174108" 174108 "fabids" "TRINITY_DN13855_c0_g1" 2.767
"176" "TRINITY_DN13882_c0_g1_i1" 1.121 1.383 2.917 1.055 3.252 0.356 "HOG:A0169580" 169580 "asterids" "TRINITY_DN13882_c0_g1" 1.68066666666667
"177" "TRINITY_DN13882_c0_g1_i5" 0.366 0.302 0.491 0.48 0.602 0.935 "HOG:A0562172" 562172 "Eukaryota" "TRINITY_DN13882_c0_g1" 0.529333333333333
"178" "TRINITY_DN13946_c0_g1_i2" 0.177 0 0.143 0.726 0 1.112 "HOG:A0220338" 220338 "Magnoliopsida" "TRINITY_DN13946_c0_g1" 0.359666666666667
"179" "TRINITY_DN13946_c0_g1_i3" 2.537 1.913 3.056 1.502 1.497 0.772 "HOG:A0198102" 198102 "rosids" "TRINITY_DN13946_c0_g1" 1.8795
"180" "TRINITY_DN13955_c0_g1_i1" 11.103 14.223 16.732 17.799 6.884 15.69 "HOG:A0168287" 168287 "asterids" "TRINITY_DN13955_c0_g1" 13.7385
"181" "TRINITY_DN13955_c0_g1_i3" 0 0.142 0 0 1.158 0 "HOG:A0202413" 202413 "Pentapetalae" "TRINITY_DN13955_c0_g1" 0.216666666666667
"182" "TRINITY_DN13971_c0_g1_i1" 7.1 0 0 7.104 0 0 "HOG:A0562417" 562417 "Eukaryota" "TRINITY_DN13971_c0_g1" 2.36733333333333
"183" "TRINITY_DN13971_c0_g1_i2" 40.225 48.014 27.32 1.441 1.133 1.677 "HOG:A0199016" 199016 "rosids" "TRINITY_DN13971_c0_g1" 19.9683333333333
"184" "TRINITY_DN13983_c0_g2_i1" 0 0.985 0 0 1.347 0 "HOG:A0235297" 235297 "Embryophyta" "TRINITY_DN13983_c0_g2" 0.388666666666667
"185" "TRINITY_DN13983_c0_g2_i1" 0 0.985 0 0 1.347 0 "HOG:A0757387" 757387 "Bacteria" "TRINITY_DN13983_c0_g2" 0.388666666666667
"186" "TRINITY_DN13983_c0_g2_i5" 0 1.062 0 0 0.953 0 "HOG:A0780014" 780014 "LUCA" "TRINITY_DN13983_c0_g2" 0.335833333333333
"187" "TRINITY_DN1414_c0_g1_i1" 0.177 0.628 0.362 0.364 1.664 1.082 "HOG:A0224224" 224224 "Spermatophyta" "TRINITY_DN1414_c0_g1" 0.712833333333333
"188" "TRINITY_DN1414_c0_g1_i3" 9.504 8.667 7.472 17.35 17.04 12.161 "HOG:A0743694" 743694 "Gammaproteobacteria" "TRINITY_DN1414_c0_g1" 12.0323333333333
"189" "TRINITY_DN14178_c0_g2_i2" 1.112 2.154 3.051 0 0 1.908 "HOG:A0229242" 229242 "Spermatophyta" "TRINITY_DN14178_c0_g2" 1.37083333333333
"190" "TRINITY_DN14178_c0_g2_i2" 1.112 2.154 3.051 0 0 1.908 "HOG:A0235099" 235099 "Embryophyta" "TRINITY_DN14178_c0_g2" 1.37083333333333
"191" "TRINITY_DN14192_c0_g1_i8" 2.86 2.86 4.33 0 0 0 "HOG:A0202438" 202438 "Pentapetalae" "TRINITY_DN14192_c0_g1" 1.675
"192" "TRINITY_DN14242_c0_g1_i10" 0.323 0.883 0 0.069 1.276 0 "HOG:A0167719" 167719 "asterids" "TRINITY_DN14242_c0_g1" 0.425166666666667
"193" "TRINITY_DN14449_c0_g1_i2" 1.019 0.823 0 0.338 0 0.492 "HOG:A0168189" 168189 "asterids" "TRINITY_DN14449_c0_g1" 0.445333333333333
"194" "TRINITY_DN145_c0_g1_i10" 3.945 4.695 4.402 4.789 4.958 5.933 "HOG:A0207981" 207981 "Pentapetalae" "TRINITY_DN145_c0_g1" 4.787
"195" "TRINITY_DN14518_c0_g1_i1" 0 3.659 2.565 0 2.686 1.798 "HOG:A0198038" 198038 "rosids" "TRINITY_DN14518_c0_g1" 1.78466666666667
"196" "TRINITY_DN14518_c0_g1_i5" 0 0.17 0 0 0 0 "HOG:A0206997" 206997 "Pentapetalae" "TRINITY_DN14518_c0_g1" 0.0283333333333333
"197" "TRINITY_DN1455_c0_g1_i2" 0 0 0 0 0 0 "HOG:A0168090" 168090 "asterids" "TRINITY_DN1455_c0_g1" 0
"198" "TRINITY_DN1455_c0_g1_i3" 1.277 2.917 2.525 6.43 4.552 3.581 "HOG:A0222080" 222080 "Magnoliopsida" "TRINITY_DN1455_c0_g1" 3.547
"199" "TRINITY_DN14647_c0_g1_i12" 0.705 0 1.071 1.12 0 1.668 "HOG:A0167954" 167954 "asterids" "TRINITY_DN14647_c0_g1" 0.760666666666667
"200" "TRINITY_DN14647_c0_g1_i12" 0.705 0 1.071 1.12 0 1.668 "HOG:A0219002" 219002 "Mesangiospermae" "TRINITY_DN14647_c0_g1" 0.760666666666667
"201" "TRINITY_DN14657_c0_g1_i1" 2.49 1.152 2.031 1.045 0.464 1.465 "HOG:A0197996" 197996 "rosids" "TRINITY_DN14657_c0_g1" 1.44116666666667
"202" "TRINITY_DN14657_c0_g1_i4" 0.203 0 0.225 0.344 0 0.103 "HOG:A0203105" 203105 "Pentapetalae" "TRINITY_DN14657_c0_g1" 0.145833333333333
"203" "TRINITY_DN14674_c0_g1_i2" 3.234 1.264 2.247 2.297 1.986 1.963 "HOG:A0565269" 565269 "Eukaryota" "TRINITY_DN14674_c0_g1" 2.16516666666667
"204" "TRINITY_DN14674_c0_g1_i2" 3.234 1.264 2.247 2.297 1.986 1.963 "HOG:A0515262" 515262 "Euteleostomi" "TRINITY_DN14674_c0_g1" 2.16516666666667
"205" "TRINITY_DN14768_c0_g1_i2" 0 1.91 0.105 2.701 1.581 0.831 "HOG:A0213991" 213991 "Mesangiospermae" "TRINITY_DN14768_c0_g1" 1.188
"206" "TRINITY_DN14768_c0_g1_i3" 1.8 0.987 0 1.343 2.292 0 "HOG:A0228989" 228989 "Spermatophyta" "TRINITY_DN14768_c0_g1" 1.07033333333333
"207" "TRINITY_DN1480_c0_g1_i1" 5.257 3.043 8.859 5.985 12.847 20.192 "HOG:A0198094" 198094 "rosids" "TRINITY_DN1480_c0_g1" 9.36383333333333
"208" "TRINITY_DN14892_c0_g1_i1" 0.77 0.946 0.314 0.993 1.032 0.974 "HOG:A0198401" 198401 "rosids" "TRINITY_DN14892_c0_g1" 0.838166666666667
"209" "TRINITY_DN14892_c0_g1_i1" 0.77 0.946 0.314 0.993 1.032 0.974 "HOG:A0562223" 562223 "Eukaryota" "TRINITY_DN14892_c0_g1" 0.838166666666667
"210" "TRINITY_DN14990_c0_g1_i1" 0 0.832 0.925 0 0.651 0.525 "HOG:A0204965" 204965 "Pentapetalae" "TRINITY_DN14990_c0_g1" 0.488833333333333
"211" "TRINITY_DN14990_c0_g1_i2" 0.865 0.773 0.927 0.598 0.784 0.537 "HOG:A0167526" 167526 "asterids" "TRINITY_DN14990_c0_g1" 0.747333333333333
"212" "TRINITY_DN14997_c0_g1_i6" 1.404 0.861 0.62 1.472 1.061 0.778 "HOG:A0198025" 198025 "rosids" "TRINITY_DN14997_c0_g1" 1.03266666666667
"213" "TRINITY_DN15098_c0_g1_i10" 0.601 0.484 0.506 0 0 0 "HOG:A0220213" 220213 "Magnoliopsida" "TRINITY_DN15098_c0_g1" 0.265166666666667
"214" "TRINITY_DN15105_c0_g1_i1" 0 0 0.9 0 0 0 "HOG:A0221369" 221369 "Magnoliopsida" "TRINITY_DN15105_c0_g1" 0.15
"215" "TRINITY_DN15105_c0_g1_i2" 0.565 0.619 0.942 0.413 0.202 0.52 "HOG:A0198301" 198301 "rosids" "TRINITY_DN15105_c0_g1" 0.5435
"216" "TRINITY_DN15112_c0_g1_i1" 0 0 0 0 0 0 "HOG:A0198254" 198254 "rosids" "TRINITY_DN15112_c0_g1" 0
"217" "TRINITY_DN15395_c0_g1_i1" 4.234 1.287 4.131 1.225 2.076 2.813 "HOG:A0779755" 779755 "LUCA" "TRINITY_DN15395_c0_g1" 2.62766666666667
"218" "TRINITY_DN15395_c0_g1_i2" 0 0.392 0 0 0 0 "HOG:A0570327" 570327 "Eukaryota" "TRINITY_DN15395_c0_g1" 0.0653333333333333
"219" "TRINITY_DN15396_c0_g1_i1" 14.147 7.581 14.29 10.473 10.854 7.334 "HOG:A0204996" 204996 "Pentapetalae" "TRINITY_DN15396_c0_g1" 10.7798333333333
"220" "TRINITY_DN15396_c0_g1_i4" 1.687 1.043 2.733 0.662 1.714 1.62 "HOG:A0168497" 168497 "asterids" "TRINITY_DN15396_c0_g1" 1.5765
"221" "TRINITY_DN15461_c0_g1_i7" 11.504 13.245 15.287 3.049 6.908 8.84 "HOG:A0202523" 202523 "Pentapetalae" "TRINITY_DN15461_c0_g1" 9.8055
"222" "TRINITY_DN15461_c0_g1_i8" 0.649 0.547 0.661 0.162 1.299 0.067 "HOG:A0167694" 167694 "asterids" "TRINITY_DN15461_c0_g1" 0.564166666666667
"223" "TRINITY_DN15482_c0_g1_i1" 0 0.344 0 0.269 0.188 0.087 "HOG:A0199729" 199729 "rosids" "TRINITY_DN15482_c0_g1" 0.148
"224" "TRINITY_DN15482_c0_g1_i2" 0 0.171 0.051 0 0.199 0.064 "HOG:A0205009" 205009 "Pentapetalae" "TRINITY_DN15482_c0_g1" 0.0808333333333333
"225" "TRINITY_DN15534_c0_g1_i1" 0.226 0.091 0.658 0.21 0 0.817 "HOG:A0167878" 167878 "asterids" "TRINITY_DN15534_c0_g1" 0.333666666666667
"226" "TRINITY_DN15534_c0_g1_i2" 0.993 4.829 4.413 0.539 0.782 0.494 "HOG:A0198124" 198124 "rosids" "TRINITY_DN15534_c0_g1" 2.00833333333333
"227" "TRINITY_DN156_c0_g1_i3" 14.273 10.44 7.714 4.523 1.073 2.165 "HOG:A0545176" 545176 "Eumetazoa" "TRINITY_DN156_c0_g1" 6.698
"228" "TRINITY_DN15747_c0_g1_i10" 0 0 0.318 0 0.308 0 "HOG:A0206098" 206098 "Pentapetalae" "TRINITY_DN15747_c0_g1" 0.104333333333333
"229" "TRINITY_DN15747_c0_g1_i4" 0.683 0.453 0.178 0.764 0.101 0.168 "HOG:A0757172" 757172 "Bacteria" "TRINITY_DN15747_c0_g1" 0.391166666666667
"230" "TRINITY_DN15747_c0_g1_i8" 0.222 0.386 0.713 0.052 0.265 0.347 "HOG:A0780103" 780103 "LUCA" "TRINITY_DN15747_c0_g1" 0.330833333333333
"231" "TRINITY_DN15999_c0_g1_i1" 0.297 0 0 0.316 0.895 0 "HOG:A0174500" 174500 "fabids" "TRINITY_DN15999_c0_g1" 0.251333333333333
"232" "TRINITY_DN15999_c0_g1_i5" 1.01 1.24 1.852 0.984 1.482 2.107 "HOG:A0168043" 168043 "asterids" "TRINITY_DN15999_c0_g1" 1.44583333333333
"233" "TRINITY_DN16038_c0_g1_i1" 0.612 0.299 0.3 1.382 0.188 1.947 "HOG:A0198208" 198208 "rosids" "TRINITY_DN16038_c0_g1" 0.788
"234" "TRINITY_DN16038_c0_g1_i3" 1.299 0 0.956 1.916 0 2.757 "HOG:A0203248" 203248 "Pentapetalae" "TRINITY_DN16038_c0_g1" 1.15466666666667
"235" "TRINITY_DN1608_c0_g1_i15" 26.942 19.418 24 49.298 24.26 35.796 "HOG:A0208035" 208035 "Pentapetalae" "TRINITY_DN1608_c0_g1" 29.9523333333333
"236" "TRINITY_DN16106_c0_g1_i12" 4.763 6.639 6.104 3.112 3.393 4.744 "HOG:A0779786" 779786 "LUCA" "TRINITY_DN16106_c0_g1" 4.7925
"237" "TRINITY_DN16106_c0_g1_i15" 1.111 1.68 0.226 3.416 2.738 3.4 "HOG:A0567083" 567083 "Eukaryota" "TRINITY_DN16106_c0_g1" 2.09516666666667
"238" "TRINITY_DN16218_c0_g1_i1" 0.38 1.567 1.94 1.957 1.133 5.018 "HOG:A0555309" 555309 "Opisthokonta" "TRINITY_DN16218_c0_g1" 1.99916666666667
"239" "TRINITY_DN16218_c0_g1_i2" 0 0 0.623 0 0 0.93 "HOG:A0233287" 233287 "Tracheophyta" "TRINITY_DN16218_c0_g1" 0.258833333333333
"240" "TRINITY_DN16507_c0_g1_i1" 0.098 1.741 0 0.245 1.693 0.055 "HOG:A0780918" 780918 "LUCA" "TRINITY_DN16507_c0_g1" 0.638666666666667
"241" "TRINITY_DN16507_c0_g1_i3" 1.87 0.698 1.876 2.366 1.444 1.447 "HOG:A0563152" 563152 "Eukaryota" "TRINITY_DN16507_c0_g1" 1.61683333333333
"242" "TRINITY_DN16523_c0_g1_i1" 4.824 6.104 2.965 1.523 0.256 2.018 "HOG:A0200717" 200717 "rosids" "TRINITY_DN16523_c0_g1" 2.94833333333333
"243" "TRINITY_DN16523_c0_g1_i2" 4.125 2.349 5.599 0 0.256 0 "HOG:A0168765" 168765 "asterids" "TRINITY_DN16523_c0_g1" 2.05483333333333
"244" "TRINITY_DN16547_c0_g1_i1" 1.886 3.214 1.214 0 0 0.221 "HOG:A0231894" 231894 "Tracheophyta" "TRINITY_DN16547_c0_g1" 1.08916666666667
"245" "TRINITY_DN16547_c0_g1_i10" 0.515 1.984 0 0.226 0.284 0.317 "HOG:A0198035" 198035 "rosids" "TRINITY_DN16547_c0_g1" 0.554333333333333
"246" "TRINITY_DN1658_c2_g1_i1" 39.506 47.291 37.839 44.565 67.009 45.074 "HOG:A0779723" 779723 "LUCA" "TRINITY_DN1658_c2_g1" 46.8806666666667
"247" "TRINITY_DN1658_c2_g1_i1" 39.506 47.291 37.839 44.565 67.009 45.074 "HOG:A0223442" 223442 "Spermatophyta" "TRINITY_DN1658_c2_g1" 46.8806666666667
"248" "TRINITY_DN16788_c0_g1_i7" 0 0.825 0.497 0.09 1.651 0 "HOG:A0562172" 562172 "Eukaryota" "TRINITY_DN16788_c0_g1" 0.5105
"249" "TRINITY_DN17025_c0_g1_i1" 0 0 0 0 0 0 "HOG:A0551544" 551544 "Metazoa" "TRINITY_DN17025_c0_g1" 0
"250" "TRINITY_DN17025_c0_g1_i3" 5.618 5.506 6.699 5.06 3.123 5.715 "HOG:A0562172" 562172 "Eukaryota" "TRINITY_DN17025_c0_g1" 5.28683333333333
"251" "TRINITY_DN17065_c0_g1_i16" 0.574 0 0.298 0 0.984 0 "HOG:A0220573" 220573 "Magnoliopsida" "TRINITY_DN17065_c0_g1" 0.309333333333333
"252" "TRINITY_DN17065_c0_g1_i18" 0.41 0.414 0.501 0.583 0.165 0.366 "HOG:A0205051" 205051 "Pentapetalae" "TRINITY_DN17065_c0_g1" 0.4065
"253" "TRINITY_DN17065_c0_g1_i5" 0.934 0.729 1.156 0.844 0.703 1.155 "HOG:A0239258" 239258 "Viridiplantae" "TRINITY_DN17065_c0_g1" 0.920166666666667
"254" "TRINITY_DN17068_c0_g1_i3" 0.812 0.78 0.826 0.791 0.446 0.351 "HOG:A0220735" 220735 "Magnoliopsida" "TRINITY_DN17068_c0_g1" 0.667666666666667
"255" "TRINITY_DN17068_c0_g1_i8" 0 0 1.022 0 0 0.692 "HOG:A0443249" 443249 "Neoptera" "TRINITY_DN17068_c0_g1" 0.285666666666667
"256" "TRINITY_DN17381_c0_g1_i1" 0 0 0.378 0.383 0 0 "HOG:A0206650" 206650 "Pentapetalae" "TRINITY_DN17381_c0_g1" 0.126833333333333
"257" "TRINITY_DN17381_c0_g1_i1" 0 0 0.378 0.383 0 0 "HOG:A0168614" 168614 "asterids" "TRINITY_DN17381_c0_g1" 0.126833333333333
"258" "TRINITY_DN174_c0_g1_i12" 1.798 3.943 0 0 2.159 0 "HOG:A0206234" 206234 "Pentapetalae" "TRINITY_DN174_c0_g1" 1.31666666666667
"259" "TRINITY_DN17493_c0_g1_i5" 2.478 2.17 3.63 2.223 0.961 2.13 "HOG:A0555750" 555750 "Opisthokonta" "TRINITY_DN17493_c0_g1" 2.26533333333333
"260" "TRINITY_DN17515_c0_g1_i1" 0.474 0.455 0 0 0 0 "HOG:A0168098" 168098 "asterids" "TRINITY_DN17515_c0_g1" 0.154833333333333
"261" "TRINITY_DN17515_c0_g1_i2" 0.447 0.47 0.412 0 0 0 "HOG:A0205142" 205142 "Pentapetalae" "TRINITY_DN17515_c0_g1" 0.2215
"262" "TRINITY_DN17619_c0_g1_i1" 1.766 1.414 0 1.441 0.572 0 "HOG:A0203867" 203867 "Pentapetalae" "TRINITY_DN17619_c0_g1" 0.8655
"263" "TRINITY_DN17619_c0_g1_i4" 1.57 0.112 0.183 1.111 0.439 0.241 "HOG:A0779799" 779799 "LUCA" "TRINITY_DN17619_c0_g1" 0.609333333333333
"264" "TRINITY_DN17628_c0_g1_i12" 0.129 0 0.599 0.164 0.641 0.399 "HOG:A0174342" 174342 "fabids" "TRINITY_DN17628_c0_g1" 0.322
"265" "TRINITY_DN17628_c0_g1_i5" 0 0.557 0.336 0.499 0.562 0 "HOG:A0222347" 222347 "Magnoliopsida" "TRINITY_DN17628_c0_g1" 0.325666666666667
"266" "TRINITY_DN17638_c0_g1_i1" 0.534 0 0 1.175 0 0 "HOG:A0238871" 238871 "Viridiplantae" "TRINITY_DN17638_c0_g1" 0.284833333333333
"267" "TRINITY_DN17647_c0_g1_i10" 2.85 6.99 0 0.567 4.287 0 "HOG:A0562407" 562407 "Eukaryota" "TRINITY_DN17647_c0_g1" 2.449
"268" "TRINITY_DN17647_c0_g1_i11" 3.322 0 0 0.956 0 0 "HOG:A0782219" 782219 "LUCA" "TRINITY_DN17647_c0_g1" 0.713
"269" "TRINITY_DN17678_c0_g1_i1" 1.325 1.213 3.059 2.993 2.246 3.409 "HOG:A0572352" 572352 "Eukaryota" "TRINITY_DN17678_c0_g1" 2.37416666666667
"270" "TRINITY_DN17678_c0_g1_i2" 1.232 1.543 0.26 0.433 1.666 0.214 "HOG:A0757202" 757202 "Bacteria" "TRINITY_DN17678_c0_g1" 0.891333333333333
"271" "TRINITY_DN17769_c0_g1_i5" 3.88 5.225 2.404 3.674 4.313 2.719 "HOG:A0569185" 569185 "Eukaryota" "TRINITY_DN17769_c0_g1" 3.7025
"272" "TRINITY_DN17769_c0_g1_i5" 3.88 5.225 2.404 3.674 4.313 2.719 "HOG:A0221104" 221104 "Magnoliopsida" "TRINITY_DN17769_c0_g1" 3.7025
"273" "TRINITY_DN1777_c1_g1_i1" 0.656 1.021 0.653 1.909 0.48 2.522 "HOG:A0221127" 221127 "Magnoliopsida" "TRINITY_DN1777_c1_g1" 1.20683333333333
"274" "TRINITY_DN1777_c1_g1_i2" 0.759 0.177 0.911 1.155 1.304 1.913 "HOG:A0167559" 167559 "asterids" "TRINITY_DN1777_c1_g1" 1.0365
"275" "TRINITY_DN17776_c0_g1_i2" 2.673 0.977 0 1.305 1.441 0 "HOG:A0779758" 779758 "LUCA" "TRINITY_DN17776_c0_g1" 1.066
"276" "TRINITY_DN17808_c0_g1_i2" 0 0 0 0 0 0 "HOG:A0167564" 167564 "asterids" "TRINITY_DN17808_c0_g1" 0
"277" "TRINITY_DN17808_c0_g1_i3" 0 0.983 1.098 0.565 0 0 "HOG:A0563469" 563469 "Eukaryota" "TRINITY_DN17808_c0_g1" 0.441
"278" "TRINITY_DN17820_c1_g1_i1" 0 0 3.105 0 0 1.436 "HOG:A0563937" 563937 "Eukaryota" "TRINITY_DN17820_c1_g1" 0.756833333333333
"279" "TRINITY_DN17820_c1_g1_i2" 0 13.988 0 0 5.901 0 "HOG:A0174343" 174343 "fabids" "TRINITY_DN17820_c1_g1" 3.31483333333333
"280" "TRINITY_DN17832_c0_g1_i2" 1.096 0.436 0 0.292 0.221 0 "HOG:A0530970" 530970 "Bilateria" "TRINITY_DN17832_c0_g1" 0.340833333333333
"281" "TRINITY_DN17832_c0_g1_i2" 1.096 0.436 0 0.292 0.221 0 "HOG:A0220294" 220294 "Magnoliopsida" "TRINITY_DN17832_c0_g1" 0.340833333333333
"282" "TRINITY_DN17858_c0_g1_i5" 0.266 0.348 0.606 0.45 0.342 0.374 "HOG:A0222440" 222440 "Magnoliopsida" "TRINITY_DN17858_c0_g1" 0.397666666666667
"283" "TRINITY_DN17876_c0_g1_i10" 3.879 0 2.541 4.424 0 2.564 "HOG:A0569661" 569661 "Eukaryota" "TRINITY_DN17876_c0_g1" 2.23466666666667
"284" "TRINITY_DN17876_c0_g1_i13" 0.413 0.423 0.136 0.187 0.132 0 "HOG:A0225687" 225687 "Spermatophyta" "TRINITY_DN17876_c0_g1" 0.215166666666667
"285" "TRINITY_DN179_c0_g1_i11" 2.028 1.479 1.499 1.843 1.411 1.51 "HOG:A0757290" 757290 "Bacteria" "TRINITY_DN179_c0_g1" 1.62833333333333
"286" "TRINITY_DN1812_c1_g1_i12" 3.162 1.749 2.503 2.531 2.133 4.079 "HOG:A0781675" 781675 "LUCA" "TRINITY_DN1812_c1_g1" 2.69283333333333
"287" "TRINITY_DN1812_c1_g1_i16" 0.046 0 0.344 0 0 0.061 "HOG:A0224298" 224298 "Spermatophyta" "TRINITY_DN1812_c1_g1" 0.0751666666666667
"288" "TRINITY_DN18120_c0_g1_i10" 1.17 0.67 0.538 0.86 0.694 0.419 "HOG:A0224269" 224269 "Spermatophyta" "TRINITY_DN18120_c0_g1" 0.725166666666667
"289" "TRINITY_DN18120_c0_g1_i9" 0.538 0.289 0.47 0.373 0.308 0.539 "HOG:A0779865" 779865 "LUCA" "TRINITY_DN18120_c0_g1" 0.4195
"290" "TRINITY_DN18283_c0_g1_i7" 7.828 5.849 3.671 8.989 8.197 4.779 "HOG:A0222090" 222090 "Magnoliopsida" "TRINITY_DN18283_c0_g1" 6.55216666666667
"291" "TRINITY_DN18328_c0_g1_i4" 0.175 0.373 0.061 0 0.335 0 "HOG:A0216247" 216247 "Mesangiospermae" "TRINITY_DN18328_c0_g1" 0.157333333333333
"292" "TRINITY_DN18348_c0_g1_i11" 7.978 7.519 17.24 4.704 0.681 12.343 "HOG:A0168130" 168130 "asterids" "TRINITY_DN18348_c0_g1" 8.41083333333333
"293" "TRINITY_DN18348_c0_g1_i15" 0.051 0.284 0 0.398 0.214 0 "HOG:A0220223" 220223 "Magnoliopsida" "TRINITY_DN18348_c0_g1" 0.157833333333333
